stage,category,tier,cost,use,name,url,status,notes
build,charts,more,free,open-source library,ChartJS,https://www.chartjs.org,live,Simple yet flexible JavaScript charting for designers & developers |
build,charts,more,free,open-source library,FrappeJS,https://frappe.io/charts,live,"Includes Green squares grid like in GitHub, and other charts to use. |"
build,charts,more,free,open-source library,G2Plot,https://g2plot.antv.vision/en,live,G2Plot is an interactive and responsive charting library based on the grammar of graphics. |
build,charts,more,free,open-source library,Google Charts,https://developers.google.com/chart,live,Get the experience from Google to create similar charts that Google uses. |
build,charts,top,free,open-source library,Data Driven Documents (D3),https://d3js.org,live,Bind complicated and massive data to interactive graphs. |
build,charts,top,free,open-source library,ApexCharts.Js,https://apexcharts.com,live,Modern & Interactive Open-source Charts |
build,charts,top,free,open-source library,Chartist,http://gionkunz.github.io/chartist-js/index.html,live,Simple responsive charts |
build,charts,more,free,open-source library,Vizzu,https://lib.vizzuhq.com/0.3.0,live,"Vizzu - a free, open-source Javascript library for building animated charts, data stories, and interactive explorers. |"
build,charts,more,free,open-source library,AntV,https://ant-design-charts.antgroup.com/en,live,"Ant Design Charts, free JS Charts library for dynamic data with excellent documentation |"
build,charts,top,free,open-source library,Nivo,https://nivo.rocks,unverified,"Nivo provides supercharged React components to easily build dataviz apps, it's built on top of d3. Also comes with serve"
build,charts,top,free,open-source library,Echarts,https://echarts.apache.org/en/index.html,live,An Open Source JavaScript Visualization Library with declarative syntax for Rapid Construction of Web-based Visualizatio
build,charts,more,free,open-source library,VChart,https://visactor.io/vchart,live,"VChart is not only a multi-terminal chart library that can be used out of the box, but also a vivid and flexible data st"
build,charts,more,free,open-source library,VTable,https://visactor.io/vtable,live,VTable is a high-performance multidimensional analysis component developed based on Canvas. When compared with tradition
build,charts,more,free,open-source library,VStory,https://visactor.io/vstory,live,"VStory is a feature-rich narrative system that can use VisActor's VChart and VTable, combined with built-in components, "
build,ui-kits,more,free,"open-source, check the licence",CSSnippets,https://cssnippets.shefali.dev,live,"Explore a vast collection of HTML, React, CSS and Tailwind CSS code snippets for buttons, box-shadows, cards, checkboxes"
build,ui-kits,more,free,"open-source, check the licence",Bit,https://bit.dev/components,dead(404),"Provides a huge library of reuseable UI Components for React, Angular, Vue, React Native. Also can be used for sharing U"
build,ui-kits,more,free,"open-source, check the licence",UILang,http://uilang.com,moved,"A minimal, UI-focused programming language for web designers |"
build,ui-kits,more,free,"open-source, check the licence",Medialoot CSS Components,https://medialoot.com/free-themes/css-components,live,"Calendars, price grids and other UI components |"
build,ui-kits,more,free,"open-source, check the licence",Froala Design Blocks,https://froala.com/design-blocks,live,Over 170 responsive design blocks ready to be used in your web or mobile apps |
build,ui-kits,top,free,"open-source, check the licence",Flowbite,https://flowbite.com,live,Open-source library of Tailwind CSS components |
build,ui-kits,top,free,"open-source, check the licence",daisyUI,https://daisyui.com,live,Tailwind CSS Components |
build,ui-kits,more,freemium,"open-source, check the licence",Mui Treasury,https://mui-treasury.com,live,An open-source project that provides a collection of ready-to-use components based on Material-UI. |
build,ui-kits,more,free,"open-source, check the licence",Material Design For Bootstrap,https://mdbootstrap.com,live,Open source toolkit for building material design with Bootstrap |
build,ui-kits,more,free,"open-source, check the licence",Photonkit,http://photonkit.com,live,Desktop UI library for Electron |
build,ui-kits,more,free,"open-source, check the licence",Flat UI,https://designmodo.github.io/Flat-UI,live,Minimal free user interface kit|
build,ui-kits,more,free,"open-source, check the licence",Shards,https://designrevision.com/downloads/shards,live,A free and modern UI toolkit for web makers based on Bootstrap |
build,ui-kits,more,free,"open-source, check the licence",Themesberg,https://themesberg.com/templates/free,live,"Free and open-source website themes, templates, and UI kits based on Bootstrap and React |"
build,ui-kits,more,free,"open-source, check the licence",Creative Tim,https://www.creative-tim.com,live,All types of UI libraries and kits including JS frameworks like React |
build,ui-kits,more,free,"open-source, check the licence",Brumm Shadow Maker,https://brumm.af/shadows,unverified,An online tool to make css shadows|
build,ui-kits,more,free,"open-source, check the licence",AdminLTE,https://adminlte.io,live,Best open source admin dashboard & control panel theme|
build,ui-kits,more,free,"open-source, check the licence",SpinKit,https://tobiasahlin.com/spinkit,live,Simple CSS Spinners|
build,ui-kits,more,free,"open-source, check the licence",Epic Spinners,https://epic-spinners.epicmax.co,moved,CSS spinners collection with Vue.js integration. |
build,ui-kits,more,free,"open-source, check the licence",Loading.io,https://loading.io,live,"Online service provider for creating simple animations, spinners, progress bar and more |"
build,ui-kits,more,free,"open-source, check the licence",Moving Letters,https://tobiasahlin.com/moving-letters,live,Animated Text with JavaScript and anime.js|
build,ui-kits,more,free,"open-source, check the licence",CSS Layout,https://csslayout.io,live,A collection of popular web layouts and patterns in pure CSS |
build,ui-kits,more,free,"open-source, check the licence",CSS Grid Generator,https://cssgrid-generator.netlify.app,live,An open-source project that allow users to quickly create dynamic layout based on CSS Grid. |
build,ui-kits,more,free,"open-source, check the licence",HTML Table Generator,https://www.htmltables.io,live,"Create semantic, responsive & accessible HTML tables to represent your tabular data. Set CSS properties, generate the co"
build,ui-kits,more,free,"open-source, check the licence",Codyhouse,https://codyhouse.co,live,"Kick-start your web projects with CodyHouse's front-end framework and library of accessible HTML, CSS, JavaScript compon"
build,ui-kits,more,free,"open-source, check the licence",Tailwind Starter Kit,https://github.com/creativetimofficial/tailwind-starter-kit,live,"Tailwind Starter Kit a beautiful extension for TailwindCSS, Free and Open Source |"
build,ui-kits,more,free,"open-source, check the licence",Tailwindtoolbox,https://www.tailwindtoolbox.com,moved,"Open source starter templates and components, a plugins directory and useful tools/utilities to kick start your Tailwind"
build,ui-kits,more,free,"open-source, check the licence",tailwindcomponents,https://tailwindcomponents.com,moved,A free repository for community components using TailwindCSS |
build,ui-kits,more,free,"open-source, check the licence",sweetalert,https://sweetalert.js.org,live,SweetAlert makes popup messages easy and pretty. |
build,ui-kits,more,free,"open-source, check the licence",sweetalert2,https://sweetalert2.github.io,live,"A beautiful, responsive, customizable, accessible replacement for javascript's popup boxes |"
build,ui-kits,more,free,"open-source, check the licence",tailblocks,https://mertjf.github.io/tailblocks,moved,Open source ready-to-use Tailwind CSS components. |
build,ui-kits,more,free,"open-source, check the licence",Fast,https://www.fast.design,live,"An interface system that can be used with modern Web Frameworks such as React, Vue and Angular. |"
build,ui-kits,more,freemium,"open-source, check the licence",LottieFiles,https://lottiefiles.com,live,"Interactive animations in many formats like json,gif and mp4, libraries and plugins for Web & Mobile . |"
build,ui-kits,more,free,"open-source, check the licence",Kutty,https://kutty.netlify.app,live,A set of accessible and reusable prebuilt Tailwind components that are commonly used in web applications. |
build,ui-kits,more,free,"open-source, check the licence",Tailwind Templates,https://tailwindtemplates.io,live,A free collection of Tailwindcss Templates - tailwind components for rapid UI development. |
build,ui-kits,more,free,"open-source, check the licence",Stitches,https://stitches.hyperyolo.com,dead(dns),An HTML template generator using functional css. |
build,ui-kits,more,free,"open-source, check the licence",Meraki UI Components,https://merakiui.com,live,Beautiful Tailwindcss components that support RTL languages & fully responsive based on Flexbox & CSS Grid. |
build,ui-kits,more,free,"open-source, check the licence",Daemonites Material Design For Bootstrap,https://http://daemonite.github.io/material,dead(dns),Daemonite's Material UI is a cross-platform and fully responsive front-end interface based on Google Material Design dev
build,ui-kits,more,free,"open-source, check the licence",Stitches,https://stitches.dev,live,"CSS-in-JS with near-zero runtime, SSR, multi-variant support, and a best-in-class developer experience. |"
build,ui-kits,top,free,"open-source, check the licence",Headless UI,https://headlessui.com,live,"Completely unstyled, fully accessible UI components, designed to integrate beautifully with Tailwind CSS. |"
build,ui-kits,more,free,"open-source, check the licence",Styled components,https://styled-components.com,live,"Build beautifully UI Components, for your applications & websites. |"
build,ui-kits,more,free,"open-source, check the licence",Figma Bootstrap 5 UI Kit,https://drive.google.com/file/d/1SZOTxXYfCMujqP2P684Vd5QIrlk5bwe6/view?usp=sharing,live,UI Kit comprising 300+ organized Bootstrap 5 components built with atomic design system & auto layout. |
build,ui-kits,more,free,"open-source, check the licence",Notiflix,https://notiflix.github.io,live,"JavaScript library for client-side non-blocking notifications, popup boxes, loading indicators, and more that makes your"
build,ui-kits,more,free,"open-source, check the licence",CoreUI,https://coreui.io,live,Bootstrap Admin Dashboard Template & UI Components Library |
build,ui-kits,more,free,"open-source, check the licence",AgnosticUI,https://www.agnosticui.com,live,"Accessible React component primitives that also work with Vue 3, Svelte, and Angular |"
build,ui-kits,more,free,"open-source, check the licence",SVGR,https://react-svgr.com,live,"SVGR is an universal tool to transform a raw SVG into a ready-to-use React components. Available online, in CLI, Node.js"
build,ui-kits,more,free,"open-source, check the licence",uiverse,https://uiverse.io,live,"Hundreds Open-Source UI elements, made with HTML & CSS. Anyone can contribute. Includes buttons, checkboxes, spinners, c"
build,ui-kits,more,free,"open-source, check the licence",HyperUI,https://www.hyperui.dev,live,"Free open source Tailwind CSS components for marketing and ecommerce websites, as well as application UI. |"
build,ui-kits,top,free,"open-source, check the licence",Flowbite Admin Dashboard,https://github.com/themesberg/flowbite-admin-dashboard,live,"Free and open-source admin dashboard template built with Tailwind CSS and Flowbite featuring 15 examples pages, charts, "
build,ui-kits,more,free,"open-source, check the licence",Wicked Blocks,https://wickedblocks.dev,live,A free collection of Tailwind blocks & components |
build,ui-kits,more,free,"open-source, check the licence",Mamba UI,https://mambaui.com,live,"Mamba UI is a free, open-source collection of UI components and templates based on Tailwind CSS. |"
build,ui-kits,more,free,"open-source, check the licence",Kitwind,https://kitwind.io/products/kometa/components,live,"Fully responsive UI kits, built with Tailwind CSS. |"
build,ui-kits,more,free,"open-source, check the licence",DevUI,https://www.devui.io,live,Free and Open-Source UI Components for Maximum Productivity. |
build,ui-kits,more,free,"open-source, check the licence",Tail-Kit,https://www.tailwind-kit.com,live,"Tail-kit gives you access to over 250 free components and free templates, based on Tailwind CSS 3.0. |"
build,ui-kits,more,free,"open-source, check the licence",Float UI,https://floatui.com,live,Free and open-source UI components and website templates using Tailwind CSS |
build,ui-kits,more,free,"open-source, check the licence",Konsta UI,https://konstaui.com,live,Pixel perfect mobile UI components built with Tailwind CSS |
build,ui-kits,more,free,"open-source, check the licence",React Native Gifted Chat,https://github.com/FaridSafi/react-native-gifted-chat#readme,live,"A chat UI component that offers a ready-to-use chat interface with features like message bubbles, input toolbar, and mor"
build,ui-kits,more,free,"open-source, check the licence",Wind UI,https://wind-ui.com,live,"Expertly made, responsive, accessible components in React and HTML ready to be used on your website or app. |"
build,ui-kits,more,free,"open-source, check the licence",Sonner,https://sonner.emilkowal.ski,live,An opinionated toast component for React. |
build,ui-kits,more,free,"open-source, check the licence",Pines,https://devdojo.com/pines,live,"Pines is a library of animations, sliders, tooltips, accordions, modals, and more! It's a set of UI elements that can be"
build,ui-kits,more,free,"open-source, check the licence",Kuma UI,https://www.kuma-ui.com,live,"With Kuma UI's headless, zero-runtime UI components, build top-performing websites effortlessly, while enjoying the best"
build,ui-kits,top,free,"open-source, check the licence",Shadcnui Blocks,https://www.shadcnui-blocks.com,live,Effortless Shadcn UI Component Previews & Code Snippets. |
build,ui-kits,top,free,"open-source, check the licence",Shadcn studio,https://shadcnstudio.com,live,Preview your theme changes across different components and layouts. |
build,ui-kits,more,free,"open-source, check the licence",Bundui,https://bundui.io,live,"Discover a curated collection of over 200 handcrafted UI components made with Tailwind CSS, React, and Shadcn UI. |"
build,ui-kits,top,free,"open-source, check the licence",Shadcn Examples,https://shadcnexamples.com,live,"Examples and components built with React and Tailwind CSS, compatible with Shadcn UI. |"
build,ui-kits,top,free,"open-source, check the licence",Shadcn Admin,https://shadcnadmin.com,live,"A multipurpose admin dashboard template for React, Next.js, and Vue.js. Fully compatible with shadcn/ui."
build,react-ui,top,free,"open-source, check the licence",Material UI,https://mui.com,live,"React components for faster and easier web development, based on Material Design |"
build,react-ui,top,free,"open-source, check the licence",Chakra UI,https://chakra-ui.com,live,Build accessible React apps & websites with speed. [Openchakra](https://openchakra.app/) |
build,react-ui,more,free,"open-source, check the licence",React Bootstrap,https://react-bootstrap.github.io,live,Bootstrap rebuilt for React. Include Bootstrap components right in your JavaScript |
build,react-ui,more,free,"open-source, check the licence",Semi Design,https://semi.design/en-US,live,"A modern, comprehensive, flexible design system that gives you all modular blocks you need to build sensible web apps & "
build,react-ui,top,free,"open-source, check the licence",Mantine,https://mantine.dev,live,"React components and hooks library with native dark theme support focused on usability, accessibility and developer expe"
build,react-ui,top,freemium,"open-source, check the licence",HeroUI - Previously NextUI,https://www.heroui.com,live,"Beautiful, fast and modern React UI library that allows you to create beatiful websites regardless of your design experi"
build,react-ui,more,free,"open-source, check the licence",Arco Design,https://arco.design/en-US,live,A comprehensive React UI components library based on the Arco Design system. |
build,react-ui,more,free,"open-source, check the licence",ui-playbook,https://uiplaybook.dev,live,The documented collection of UI components |
build,react-ui,more,free,"open-source, check the licence",ReactStrap,https://reactstrap.github.io,live,Another Bootstrap UI library for React |
build,react-ui,more,free,"open-source, check the licence",React Admin,https://marmelab.com/react-admin,live,A frontend Framework for building admin applications. Supports API's out of the box|
build,react-ui,more,free,"open-source, check the licence",BlueprintJS,https://blueprintjs.com,live,React-based UI toolkit for the web |
build,react-ui,more,free,"open-source, check the licence",React Semantic UI,https://react.semantic-ui.com,live,UI components based off of the Semantic UI framework |
build,react-ui,more,free,"open-source, check the licence",Shards React,https://designrevision.com/downloads/shards-react,live,React UI kit featuring a modern design system with dozens of custom components |
build,react-ui,more,free,"open-source, check the licence",React Virtualized,https://bvaughn.github.io/react-virtualized,live,"UI set for data. Includes tables, lists, sorting, etc. |"
build,react-ui,more,free,"open-source, check the licence",React Toolbox,http://react-toolbox.io/#,live,Material design UI library for React |
build,react-ui,more,free,"open-source, check the licence",Elastic UI,https://elastic.github.io/eui/#,moved,Distributes UI React components and static assets for use in building web layouts |
build,react-ui,more,free,"open-source, check the licence",React Desktop,http://reactdesktop.js.org,live,Desktop styled components in React. Includes MacOS and Windows based components |
build,react-ui,more,free,"open-source, check the licence",Theme UI,https://theme-ui.com/home,dead(404),"Build consistent, themeable React apps based on constraint-based design principles |"
build,react-ui,more,free,"open-source, check the licence",Onsen React,https://onsen.io/react,live,Distributes Components for hybrid mobile apps with React and Onsen UI |
build,react-ui,more,free,"open-source, check the licence",Evergreen,https://evergreen.segment.com,live,Design system for React |
build,react-ui,more,free,"open-source, check the licence",Rebass,https://github.com/rebassjs/rebass,live,React primitive UI components built with styled system |
build,react-ui,more,free,"open-source, check the licence",Grommet,https://v2.grommet.io,live,mobile first UI component library |
build,react-ui,more,free,"open-source, check the licence",Landing Page Template,https://github.com/cruip/open-react-template,live,Open source landing page template for react |
build,react-ui,more,free,"open-source, check the licence",Elemental UI,http://elemental-ui.com,live,A UI Toolkit for React.js Websites and Apps |
build,react-ui,top,free,"open-source, check the licence",Ant Design,https://ant.design,live,Open source design React UI library. |
build,react-ui,more,free,"open-source, check the licence",Bumbag,https://bumbag.style,live,Bumbag is a friendly React UI Kit suitable for MVPs or large-scale applications. |
build,react-ui,more,free,"open-source, check the licence",PRIMEREACT,https://www.primefaces.org/primereact,live,"The ultimate collection of design-agnostic, flexible and accessible React UI Components |"
build,react-ui,more,free,"open-source, check the licence",Primer Components,https://primer.style/components,live,Primer Components are React components which implement GitHub's Primer Design System |
build,react-ui,more,free,"open-source, check the licence",Orbit,https://orbit.kiwi,dead(dns),Design system and React UI components for travel projects. |
build,react-ui,more,free,"open-source, check the licence",Base Web,https://baseweb.design,live,Base Web provides a robust suite of components out of the box |
build,react-ui,more,free,"open-source, check the licence",Backpack UI,http://lonelyplanet.github.io/backpack-ui/?path=/story/styles--design-tokens,dead(404),Backpack is the Lonely Planet toolset that we use to build front end apps. |
build,react-ui,more,free,"open-source, check the licence",Reaviz,https://reaviz.io,moved,Data visualization library for React based on D3 |
build,react-ui,more,free,"open-source, check the licence",React Suite,https://rsuitejs.com/en,live,"A suite of React components, sensible UI design, and a friendly development experience. |"
build,react-ui,more,free,"open-source, check the licence",React Spring,https://www.react-spring.io,live,Spring-physics based animation library for React applications. |
build,react-ui,more,free,"open-source, check the licence",Recharts,http://recharts.org/en-US,dead(404),A composable charting library built on React components. |
build,react-ui,more,free,"open-source, check the licence",Vercel UI,https://github.com/geist-org/react,live,Modern and minimalist React UI library |
build,react-ui,more,freemium,"open-source, check the licence",Framer Motion,https://www.framer.com/motion,moved,A React library to power production-ready animations. |
build,react-ui,more,free,"open-source, check the licence",React Spectrum,https://react-spectrum.adobe.com/react-spectrum/index.html,live,"A React implementation of Spectrum, Adobe's design system. |"
build,react-ui,more,free,"open-source, check the licence",@tsparticles/react,https://github.com/tsparticles/react,live,A lightweight React component for creating particles |
build,react-ui,more,free,"open-source, check the licence",particles-bg,https://github.com/lindelof/particles-bg,live,A React particles animation background component |
build,react-ui,more,free,"open-source, check the licence",Treact,https://treact.owaiskhan.me,live,Gallery of free and modern React templates and UI components developed using TailwindCSS as the front-end framework |
build,react-ui,more,free,"open-source, check the licence",OAH-Admin,https://gatsby-admin.paljs.com/extra-components/progress,dead(dns),a free React admin dashboard template based on Gatsby with oah-ui components and elements package. |
build,react-ui,more,free,"open-source, check the licence",Carolina Admin Dashboard,https://demo.uifort.com/carolina-react-admin-dashboard-material-ui-free-demo/LandingPage,dead(404),Free React admin template is powered by Material-UI components framework and features a clean and fresh design following
build,react-ui,more,free,"open-source, check the licence",Tabler,https://github.com/tabler/tabler-react,live,Tabler is a free React admin dashboard template ideal for any kind of back-end web application. |
build,react-ui,more,free,"open-source, check the licence",Sha-el-design,https://github.com/sha-el/sha-el-design,live,React components for easier customization and smooth development flow. |
build,react-ui,more,free,"open-source, check the licence",React-WeUI,https://weui.github.io/react-weui/docs/#/react-weui/docs/page/0/articles/0,live,React-WeUI made from our love of React and WeChat's WeUI Design. |
build,react-ui,more,free,"open-source, check the licence",Supabase UI,https://ui.supabase.io,moved,An open-source UI component library inspired by Tailwind and AntDesign. |
build,react-ui,more,free,"open-source, check the licence",Ring UI,https://github.com/JetBrains/ring-ui,live,A collection of JetBrains Web UI components. |
build,react-ui,more,free,"open-source, check the licence",React95,https://react95.io,live,Refreshed Windows 95 style UI components for your React app. |
build,react-ui,more,free,"open-source, check the licence",Reakit,https://reakit.io,live,"Reakit is a lower level component library for building accessible high level UI libraries, design systems and applicatio"
build,react-ui,more,free,"open-source, check the licence",Zent,https://github.com/youzan/zent,live,A collection of essential UI components written with React. |
build,react-ui,more,free,"open-source, check the licence",Gestalt,https://github.com/pinterest/gestalt,live,A set of React UI components that supports Pinterest's design language. |
build,react-ui,more,free,"open-source, check the licence",xstyled,https://xstyled.dev,live,"A CSS-in-JS framework built for React with props based utilities like display, fontSize or rotate. |"
build,react-ui,more,free,"open-source, check the licence",@use-gesture,https://github.com/pmndrs/use-gesture,live,Bread n butter utility for component-tied mouse/touch gestures in React. |
build,react-ui,more,free,"open-source, check the licence",React Rainbow,https://react-rainbow.io,live,React Rainbow is a collection of components that will reliably help you build your application in a snap. |
build,react-ui,more,free,"open-source, check the licence",React Use Smooth Scroll,https://github.com/saidMounaim/React-Use-Smooth-Scroll,live,React Provider Component to add a smooth scroll effect |
build,react-ui,more,free,"open-source, check the licence",Choc UI,https://choc-ui.com,live,Choc UI is a set of accessible and reusable components that are commonly used in web applications. |
build,react-ui,more,free,"open-source, check the licence",Elementz,https://elementz.style,unverified,A React Component library for buliding modern applications easily & quickly. |
build,react-ui,more,free,"open-source, check the licence",Base UI,https://github.com/mui/base-ui,live,"Unstyled UI components for building accessible web apps and design systems. From the creators of Radix, Floating UI, and"
build,react-ui,more,free,"open-source, check the licence",Radix UI,https://www.radix-ui.com,live,"Unstyled, accessible components for building high‑quality design systems and web apps in React |"
build,react-ui,top,freemium,"open-source, check the licence",Materio MUI React NextJS Admin Template,https://github.com/themeselection/materio-mui-react-nextjs-admin-template-free,live,Most Powerful & Comprehensive Open-source MUI React NextJS Admin Dashboard Template built for developers. |
build,react-ui,top,free,"open-source, check the licence",Chakra Templates,https://chakra-templates.dev,unverified,A growing collection of hand-crafted & responsive Chakra UI templates ready to drop into your React project. |
build,react-ui,more,free,"open-source, check the licence",React Resizable Panels,https://github.com/bvaughn/react-resizable-panels,live,React components for resizable panel groups/layouts. |
build,react-ui,more,free,"open-source, check the licence",Carbon React,https://carbondesignsystem.com/developing/frameworks/react,live,Extensive library of React components for Websites and UI's. Based on the Carbon Design System from IBM |
build,react-ui,more,free,"open-source, check the licence",React Aria,https://react-spectrum.adobe.com/react-aria,dead(404),A library of React Hooks that provides accessible UI primitives for your design system. |
build,react-ui,top,free,"open-source, check the licence",shadcn/ui,https://ui.shadcn.com,live,Beautifully designed components built with Radix UI and Tailwind CSS. |
build,react-ui,more,free,"open-source, check the licence",Tremor,https://tremor.so,live,React components to build charts and dashboards with |
build,react-ui,more,free,"open-source, check the licence",Aceternity UI,https://ui.aceternity.com,live,Copy paste the most trending components and use them in your websites without having to worry about styling and animatio
build,react-ui,top,free,"MIT registry, install it, then own the code",Magic UI,https://magicui.design,live,"78 animated components (React 19, Tailwind v4, motion) distributed as a shadcn registry plus an MCP server: the code lands in your project and is audited as site code; most components need a reduced-motion guard added |"
build,react-ui,top,free,"MIT registry, install it, then own the code",Magic UI components,https://magicui.design/docs/components,live,"The component index, grouped (Special Effects, Text Animations, Backgrounds, Device Mocks, Buttons). Fetch a component's own page for its real props before installing: the bundled recipes carry only what canonical demos showed and can go stale between releases |"
build,react-ui,more,free,"MIT registry, install it, then own the code",Magic UI MCP,https://magicui.design/docs/mcp,live,"Their MCP server, an alternative to the shadcn CLI for pulling a component in. Same rule after it lands: it is site code and the guards are yours to add |"
build,react-ui,more,free,"open-source, check the licence",Code UI,https://www.codeui.co.in,live,"Beautifully designied mobile responsive components built with HTML, CSS , JS and React, Typescript, Tailwind CSS, and Fr"
build,react-ui,more,free,"open-source, check the licence",Edil Ozi,https://www.edil-ozi.pro,unverified,Component Library for Developers. Open Source components you can copy and paste to your apps. |
build,react-ui,top,free,"open-source, check the licence",Shadcn Templates,https://shadcntemplates.com,live,"Free collection of Shadcn UI templates, components, blocks, boilerplates, and more. |"
build,react-ui,more,free,"open-source, check the licence",Eldora UI,https://eldoraui.site,live,"Collection of re-usable components that you can copy and paste into your web apps. It primarily features components, blo"
build,react-ui,more,free,"open-source, check the licence",StyleSeed,https://github.com/bitjaru/styleseed,live,"Design engine that makes Claude Code and Cursor produce professional UI. 48 shadcn-style React components, 69 design rul"
build,vue-ui,top,free,"open-source, check the licence",Vuetify,https://vuetifyjs.com/en,live,Material design component framework |
build,vue-ui,more,free,"open-source, check the licence",Bootstrap Vue,https://bootstrap-vue.org,live,Use Bootstrap components with Vue |
build,vue-ui,more,free,"open-source, check the licence",Buefy,https://buefy.org,unverified,Lightweight UI components based on Bulma |
build,vue-ui,more,free,"open-source, check the licence",Semantic UI Vue,https://semantic-ui-vue.github.io,live,Semantic UI Vue is the Vue integration for Semantic UI |
build,vue-ui,more,free,"open-source, check the licence",Arco Design Vue,https://arco.design/vue/en-US/docs/start,live,A comprehensive Vue UI components library based on the Arco Design system. |
build,vue-ui,more,free,"open-source, check the licence",VEUI,https://veui.dev/en-US,live,"VEUI is an enterprise UI component library, based on Vue.js. |"
build,vue-ui,more,free,"open-source, check the licence",Grace,https://github.com/Trendyol/grace,live,Design System For Vue Applications. |
build,vue-ui,top,free,"open-source, check the licence",Quasar,https://quasar.dev,live,"High-performance Material Design component suite with builders for SPA, SSR, PWA, Mobile (Cordova & Capacitor), Desktop "
build,vue-ui,top,free,"open-source, check the licence",Element,https://element.eleme.io/#/en-US,live,Desktop UI library for Vue |
build,vue-ui,more,free,"open-source, check the licence",Fish UI,https://myliang.github.io/fish-ui/#/components/index,live,Vue UI toolkit for the web |
build,vue-ui,more,free,"open-source, check the licence",Keen UI,https://josephuspaye.github.io/Keen-UI,live,"VueUI library with a simple API, inspired by Google's Material Design |"
build,vue-ui,top,free,"open-source, check the licence",Materio Vuetify Vuejs Admin Template,https://github.com/themeselection/materio-vuetify-vuejs-admin-template-free,live,Open-source & Easy to use Vuetify Vuejs Admin Template with Elegant Design & Unique Layout |
build,vue-ui,more,free,"open-source, check the licence",Onsen Vue,https://onsen.io/vue,live,Distributes Components for hybrid mobile apps with Vue and Onsen UI |
build,vue-ui,more,free,"open-source, check the licence",Vuejsexamples,https://vuejsexamples.com,unverified,A nice collection of useful vuejs UI components |
build,vue-ui,more,free,"open-source, check the licence",Inkline,https://inkline.io,live,Inkline is a modern UI/UX Framework for Vue.js designed for creating flawless responsive web applications |
build,vue-ui,more,free,"open-source, check the licence",Vuesax,https://vuesax.com,live,Unique and reusable UI components |
build,vue-ui,more,free,"open-source, check the licence",Antdv,https://antdv.com,live,UI library for Vue based on Ant Design |
build,vue-ui,more,free,"open-source, check the licence",Shards Vue,https://designrevision.com/downloads/shards-vue,unverified,A high-quality & free Vue UI kit featuring a modern design system with dozens of custom components |
build,vue-ui,more,free,"open-source, check the licence",Prime Vue,https://primevue.org,unverified,"Powerful yet simple to use, versatile, performant Vue UI Component Library to help you build stunning user interfaces.|"
build,vue-ui,more,free,"open-source, check the licence",Chakra UI Vue,https://vue.chakra-ui.com,live,Chakra UI is a simple modular and accessible component library that gives you the building blocks to build Vue applicati
build,vue-ui,more,free,"open-source, check the licence",View UI,https://www.iviewui.com,live,Dozens of useful and beautiful Vue components made for people with all skill levels with extensive documentation.|
build,vue-ui,more,free,"open-source, check the licence",@tsparticles/vue2,https://github.com/tsparticles/vue2,live,A lightweight Vue 2.x component for creating particles |
build,vue-ui,more,free,"open-source, check the licence",@tsparticles/vue3,https://github.com/tsparticles/vue3,live,A lightweight Vue 3.x component for creating particles |
build,vue-ui,more,free,"open-source, check the licence",TC Components,https://components.timos.design,dead(dns),A library of high-quality ready to use components that will help you speed up your development workflow. |
build,vue-ui,more,free,"open-source, check the licence",Vant,https://youzan.github.io/vant,live,Lightweight Mobile UI Components built on Vue. |
build,vue-ui,more,free,"open-source, check the licence",Equal UI,https://quatrochan.github.io/Equal,live,Open-source Vue 3 components system for your next project based on TypeScript |
build,vue-ui,more,free,"open-source, check the licence",Mint UI,https://mint-ui.github.io/#!/en,live,Mobile UI elements for Vue.js |
build,vue-ui,more,free,"open-source, check the licence",Cube UI,https://didi.github.io/cube-ui/#/en-US,live,A fantastic mobile ui lib implement by Vue.js |
build,vue-ui,more,free,"open-source, check the licence",Muse UI,https://muse-ui.org/#/en-US,unverified,Based on the Vue 2.0 elegant Material Design UI component library |
build,vue-ui,more,free,"open-source, check the licence",AT-UI,https://at-ui.github.io/at-ui/#/en,live,AT-UI is a modular front-end UI framework for developing fast and powerful web interfaces based on Vue.js. |
build,vue-ui,more,free,"open-source, check the licence",Vuikit,https://vuikit.js.org,live,"A consistent and responsive Vue UI library, based on the front-end framework UIkit. |"
build,vue-ui,more,free,"open-source, check the licence",Wave UI,https://antoniandre.github.io/wave-ui,live,A Vue.js UI framework with only the bright side. |
build,vue-ui,more,free,"open-source, check the licence",VueTailwind,https://www.vue-tailwind.com,live,Set of Lightview and fully customizable Vue Components optimized for TailwindCSS. |
build,vue-ui,more,free,"open-source, check the licence",Oruga,https://oruga.io,unverified,Oruga is a lightweight library of UI components for Vue.js without CSS framework dependency. |
build,vue-ui,more,freemium,"open-source, check the licence",BalmUI,https://material.balmjs.com/#,unverified,BalmUI is a modular and customizable Material Design UI library for Vue.js. |
build,vue-ui,more,free,"open-source, check the licence",Weex UI,https://github.com/apache/incubator-weex-ui,live,"A rich interaction, lightweight, high performance UI library based on Weex. |"
build,vue-ui,more,free,"open-source, check the licence",Varlet,https://github.com/haoziqaq/varlet,live,"Varlet is a Material design mobile component library developed based on Vue3, developed and maintained by partners in th"
